"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bulgaria","BGR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-70.5053024291992","-30.0797004699707","-23.7000007629395","-29.9595146179","-7.5144510269","62.5","189.2299957275","82.6999969482","16.4483260553","31.4375","39.0394674274845","-70.2120383037","17.2226949347","-15.1638477266015","-22.1000412701959","-8.07436493850022","43.1252771041637","-21.6286274331472","-20.1957451080887","15.5458813705494","",
"Bahrain","BHR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","-2.9246892929","7.4400000572","","35.4000015259","20.8011809703","-2.2440704327","34.9906244672993","","-19.9687927902","9.96791011925158","-14.3684307022993","-4.4748450754671","35.8313389524081","4.12569134932708","-12.3409493724338","18.5516927195231","",
"Bahamas, The","BHS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7999992371","21.7630004883","-43.0027999878","66.9000015259","-10.3367166519","-22.5126304626","-32.9599990845","105.3700027466","33.6800003052","47.6437026314","43.0665943776","74.671633487337","-57.1782692388","125.1100585124","6.50041169396876","-24.4143306774468","-0.269773966585163","-19.1393488526925","-18.3777239149514","-44.2980795091941","62.5686403581319","",
"Barbados","BRB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7742004394531","9.19250011444092","45.5999984741211","-6.913131237","43.9385375977","31.1499996185","25.5699996948","21.1000003815","-3.2418952618","53.0178069353","37.2144300851351","-38.4063146305","24.3338143668","-6.76803855778088","-7.48314427715363","8.09822546366208","8.17236581107828","-0.754624585409391","-2.74850584499394","-11.3185178008699","",
"Central African Republic","CAF","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.0886817527296","7.55628115755005","-13.5588180378543","23.516","-7.46478189060527","15.3231352333157","25.2872516776105","7.62350846703261","-10.0600348843752","33.1289337586479","3.97284863749783","-18.1290012044572","-12.3554642863058","53.622410674245","22.2693130847636","25.9754548109717","16.2632299884529","26.4269936425428","-49.0401766877494","57.5330904314842","22.0277204306522","-14.7064259140067","5.99381772938306","2.97976062435605","-2.13617344817959","-26.1668346573362","22.562032632035","",
"Central Europe and the Baltics","CEB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.39279403429612","8.52773460827485","9.39542617723152","40.7704","1.9606394526122","39.8533690423771","1.309307280699","42.4536155778684","21.7306117038628","-6.29072067657575","9.43269188869897","-23.3576553525541","-11.8385927212232","33.7806928766375","14.1223116083943","14.8043687166861","26.9645467601576","4.95553696952578","-30.5979397772691","24.505048918857","11.038744941184","-9.41075661636812","18.1294369033328","25.7346967102522","-0.479565739322629","-0.827568156673308","-6.1250691059213","",
"Channel Islands","CHI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.1000003815","3.6168000698","-29.7670001984","35.7999992371","-15.2117872238","-8.3286828995","-14.8400001526","79.4700012207","18.2800006866","14.652299618","28.6281420267","22.6305015353122","-41.242865306","83.9903475206","47.2403307767836","-24.1365742906758","11.4041137615063","-22.0593723612252","-12.8960164797768","-19.1565736233617","16.6554767704287","",
"China","CHN","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2999992371","-25","-52.6497001648","102.1999969482","-9.8035507202","-19.4764404297","-14.5100002289","77.6699981689","-2.1099998951","13.3111771908","80.7193578265","66.6097206799351","-52.7044347603","66.2637916011","6.91468273403615","-21.6726736051879","17.1711747606138","7.26434807444456","3.02638337253336","-6.00718204917274","-2.02499777737666","",
"Cote d'Ivoire","CIV","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.5727996826172","4.41900014877319","-12.1000003814697","-25.5789470673","-2.3691654205","17.3600006104","27.3600006104","41.0999984741","16.8660218623","35.5533790402","115.556358381503","-16.9392954111","-10.7101824561","19.3249243859278","-15.1533511617011","27.1939276115438","37.4827405658476","0.0443070411803248","7.589782196825","-1.25730575112568","",
"Cameroon","CMR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90000009536743","30.3687000274658","-46.7705993652344","-19.7000007629395","-43.7677230835","25.191947937","9.7299995422","27.2700004578","115.3899993896","108.0565572215","12.6576396807","12.7362393504","","75.7217160445","44.0582676379378","-12.0037784367257","29.1424334306926","-17.8416965096053","-19.7966430247872","-41.0415907062282","22.6975460896323","",
"Comoros","COM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.9066555204386","-41.2476515414393","-56.8169279021725","-43.3293447463191","-40.9004532829316","-2.14952509094357","",
"Czech Republic","CZE","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8999996185","-22.0067996979","-7.2550997734","4.1999998093","-0.5673222542","-13.7124385834","38.9000015259","54.4399986267","76.3399963379","43.5180329779","30.9028905489","49.7208783029401","-45.9255116414","23.0087296919","0.205950126183674","-15.0180645196905","-3.22701641870823","-15.6930603290126","-10.4571047332061","-13.1225672376962","-6.57888019091982","",
"Germany","DEU","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.8601246048201","11.1624044967553","-8.00097184183425","36.6839993219018","4.12874878993665","15.6528316509426","17.9822851560564","28.022659666039","25.2398359017979","20.0661110078307","-13.4611452079545","-24.5582984012907","-33.5390062175837","64.0304664509386","16.7546801486211","10.2614696264469","35.9567181778216","36.4105345182721","-42.7978603444026","25.8243109321428","7.35079127959819","-16.6410044832911","29.05965","25.48175","2.65269844726219","9.560504","6.87004852457551","",
"Djibouti","DJI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.7341629020436","11.6332586639393","-28.8676440252378","33.5597","3.49154722569758","18.1461117180209","21.3246861243158","28.6404238845926","7.89604295447368","-0.075054681917619","14.2336907294979","-16.7998221125221","-12.2812445198656","55.8245989883699","30.3897645658543","20.962440724516","38.2085385697677","19.4662206018662","-50.9941907074769","40.602519544977","25.0633358287806","-17.3068921017894","29.4043742387854","31.2762913261746","6.48737791875065","22.3698233979787","-14.031817775527","",
"Dominican Republic","DOM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.72439956665039","-36.9025993347168","-77.0999984741211","33.004486084","85.3675003052","23.3500003815","14.6300001144","46.7000007629","25.9985984583","31.9660734149","3.75092192603519","-8.8047120951","-13.1474754638","9.69495483816079","-9.55280957837223","-7.44440927696819","12.2721831622868","0.726501440441329","-23.3710640771947","-19.0084559845617","",
"Egypt, Arab Rep.","EGY","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-30.8591995239","24.2000007629","-45.6464691162","-45.5297622681","-5.7800002098","79.3099975586","126.4000015259","158.0474351903","10.2171682627","52.237995500737","-55.8496815287","35.5539014605","11.5016378315223","-49.143834841225","41.1782029922822","12.0782886495252","26.3026425619473","-27.5003323715287","-22.8508907903659","",
"Euro area","EMU","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.2473304409051","10.2141293276981","-27.2341481410872","21.5114","-6.22698775588133","25.8357328849295","33.4024022306627","26.6294048052849","47.0220814094053","4.13601219635824","-17.5849414388991","-12.4237379418749","-13.7691997015549","54.935548121513","25.984489559872","3.37506606406033","46.977301768658","18.2088865819161","-42.8327799431936","29.0175983922494","-24.4961440703006","-16.7728154944785","1.50386171192447","31.6003991317039","-6.65366860428375","-17.4119723832975","-4.60016843196249","",
"Estonia","EST","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-65.4199981689453","42.2999992370605","4.470635891","-3.7152304649","66.2600021362","41.4799995422","70.5","22.8374017001","30.3297191282","-15.5285499304353","-65.4991596639","32.8901128749","56.0251493459843","-23.2867992669615","24.5541734761774","4.03294438504338","-28.4631143963907","6.10827026806273","16.8337247978081","",
"Ethiopia","ETH","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-26.0481906624701","-22.4974090838755","-16.1102680193047","78.3304","50.2253681929721","2.15018803833558","36.0822165492816","15.6122348144305","103.225673834805","138.575475092312","-10.5721930836202","-37.6064266855471","-28.0120098679347","19.5890274540251","6.20908954462522","13.5790366705212","28.5221205722893","39.5592052237198","-56.8471868955076","17.5198608559827","10.7226057441209","-33.0890695359779","12.6786254826915","35.4355466756062","-5.6258415902094","0.46848497953067","-1.01840088550605","",
"Fiji","FJI","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.8455200677567","15.1665639259892","-1.12087538595409","13.9892305249145","-7.98977390975711","8.18812959501414","17.0077786690029","12.1834959340016","39.8795788205964","30.2242619079228","-6.90674775525723","-26.6013699252888","-21.2494591840362","38.896387030076","15.8791016875728","7.71370671085581","30.9971413657939","12.0123517946531","-45.1566339155847","25.6372503679538","-9.85056564563627","-19.47421470758","15.23066","17.98592","-0.540043529370682","8.526358902","4.85760374030098","",
"Faroe Islands","FRO","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.89151496906264","12.7413799539017","-7.8090997222494","17.4676930088246","-5.02489101549467","19.180012801616","23.5707186161233","19.8010937292679","15.4861040085527","14.454652794341","-16.9145143583686","-18.3699655332899","-16.3583170874068","25.8128841139469","15.5199931036965","4.70329145024755","26.0582353175824","5.16378338697892","-49.5176185001164","35.2465623637037","5.23844731605201","-6.05035396943974","5.841953","14.43383","-2.71147665833468","-4.930940636","14.4258865293673","",
"Georgia","GEO","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ghana","GHA","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-32.3880996704102","17.284200668335","-33.5","-50.8990631104","4.4921875","27.5699996948","65.3799972534","32.7000007629","-33.9282735613","9.7197677354","21.5830648872527","-10.4087812263","-42.7000932925","94.0622373378049","-22.8177028708331","7.73527105338372","54.910959839869","-22.5243320251618","-29.6167779192867","-19.2593628916488","",
"Gibraltar","GIB","S&P Global Equity Indices (annual % change)","CM.MKT.INDX.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
