,Plan_name,riskometer
87,Sundaram Select Micro Cap - Series XIV  - Direct Plan (G),MODERATELY HIGH
88,Sundaram Select Micro Cap - Series XIV  - Regular Plan (G),MODERATELY HIGH
89,Sundaram Select Micro Cap - Series XV - Direct Plan (G),MODERATELY HIGH
90,Sundaram Select Micro Cap - Series XV - Regular Plan (G),MODERATELY HIGH
91,Sundaram Select Micro Cap - Series XVI - Direct Plan (G),MODERATELY HIGH
92,Sundaram Select Micro Cap - Series XVI - Regular Plan (G),MODERATELY HIGH
93,Sundaram Select Micro Cap - Series XVII - Direct Plan (G),MODERATELY HIGH
94,Sundaram Select Micro Cap - Series XVII - Regular Plan (G),MODERATELY HIGH
95,Sundaram Select Micro Cap - Series II - Direct Plan (G),HIGH
96,Sundaram Select Micro Cap - Series II - Regular Plan (G),HIGH
97,Sundaram Select Micro Cap - Series III - Direct Plan (G),HIGH
98,Sundaram Select Micro Cap - Series III - Regular Plan (G),HIGH
99,Sundaram Select Micro Cap - Series IV - Direct Plan (G),HIGH
100,Sundaram Select Micro Cap - Series IV - Regular Plan (G),HIGH
101,Sundaram Select Micro Cap - Series V - Direct Plan (G),HIGH
102,Sundaram Select Micro Cap - Series V - Regular Plan (G),HIGH
103,Sundaram Select Micro Cap - Series VI - Direct Plan (G),HIGH
104,Sundaram Select Micro Cap - Series VI - Regular Plan (G),HIGH
105,Sundaram Select Micro Cap - Series VII - Direct Plan (G),HIGH
106,Sundaram Select Micro Cap - Series VII - Regular Plan (G),HIGH
107,Sundaram Select Micro Cap - Series VIII  - Direct Plan (G),MODERATELY HIGH
108,Sundaram Select Micro Cap - Series VIII  - Regular Plan (G),MODERATELY HIGH
109,Sundaram Select Micro Cap - Series IX  - Direct Plan (G),MODERATELY HIGH
110,Sundaram Select Micro Cap - Series IX  - Regular Plan (G),MODERATELY HIGH
111,Sundaram Select Midcap - Direct Plan (G),MODERATELY HIGH
112,Sundaram Select Midcap - Institutional Plan (G),MODERATELY HIGH
113,Sundaram Select Midcap - Regular Plan (G),MODERATELY HIGH
114,Sundaram Select Small Cap - Series V - Direct Plan (G),MODERATELY HIGH
115,Sundaram Select Small Cap - Series V - Regular Plan (G),MODERATELY HIGH
116,Sundaram Select Small Cap - Series VI - Direct Plan (G),MODERATELY HIGH
117,Sundaram Select Small Cap - Series VI - Regular Plan (G),MODERATELY HIGH
118,Sundaram Small Cap - Series II - Direct Plan (G),N.A
119,Sundaram Small Cap - Series II - Regular Plan (G),N.A
120,Sundaram Small Cap - Series III - Direct Plan (G),HIGH
121,Sundaram Small Cap - Series III - Regular Plan (G),HIGH
122,Sundaram Small Cap - Series IV - Direct Plan (G),HIGH
123,Sundaram Small Cap - Series IV - Regular Plan (G),HIGH
124,Sundaram S.M.I.L.E Fund - Regular Plan (G),MODERATELY HIGH
125,Sundaram S.M.I.L.E Fund - Institutional Plan (G),MODERATELY HIGH
126,Sundaram S.M.I.L.E Fund - Direct Plan (G),MODERATELY HIGH
127,Sundaram TOP 100 - Series I - Direct Plan (G),HIGH
128,Sundaram TOP 100 - Series I - Regular Plan (G),HIGH
