,Plan_name,riskometer
75,ICICI Prudential Advisor Series - Dynamic Accrual Plan (G),MODERATE
76,ICICI Prudential Advisor Series - Dynamic Accrual Plan - Direct Plan (G),MODERATE
77,ICICI Prudential Dynamic Bond - Direct Plan (G),MODERATE
78,ICICI Prudential Dynamic Bond - Premium Plan (G),MODERATE
79,ICICI Prudential Dynamic Bond - Premium Plus Plan (G),MODERATE
80,ICICI Prudential Dynamic Bond - Regular Plan (G),MODERATE
81,ICICI Prudential Dynamic Plan (G),MODERATELY HIGH
82,ICICI Prudential Dynamic Plan - Direct Plan (G),MODERATELY HIGH
83,ICICI Prudential Dynamic Plan - Institutional Option - I ,MODERATELY HIGH
84,ICICI Prudential Dynamic Plan - Institutional Plan (G),MODERATELY HIGH
85,ICICI Prudential Equity Arbitrage Fund - Direct Plan (G),MODERATE
86,ICICI Prudential Equity Income Fund - Direct Plan (G),MODERATELY HIGH
87,ICICI Prudential Equity Income Fund - Regular Plan (G),MODERATELY HIGH
88,ICICI Prudential Equity Savings Fund - Series 1 - Direct Plan (G),MODERATELY HIGH
89,ICICI Prudential Equity Savings Fund - Series 1 (G),MODERATELY HIGH
90,ICICI Prudential Equity-Arbitrage Fund - Institutional Plan (G),MODERATE
91,ICICI Prudential Equity-Arbitrage Fund - Retail Plan (G),MODERATE
92,ICICI Prudential Exports and Other Services Fund - Direct Plan (G),HIGH
93,ICICI Prudential Exports and Other Services Fund (G),HIGH
94,ICICI Prudential Flexible Income Plan - Retail Plan (G),MODERATELY LOW
95,ICICI Prudential Flexible Income Plan (G),MODERATELY LOW
96,ICICI Prudential Flexible Income Plan - Direct Plan (G),MODERATELY LOW
97,ICICI Prudential FMCG Fund (G),HIGH
98,ICICI Prudential FMCG Fund - Direct Plan (G),HIGH
99,ICICI Prudential FMP - Series 80 - 1118 Days Plan X - Direct Plan (G),MODERATE
100,ICICI Prudential FMP - Series 80 - 1118 Days Plan X - Regular Plan (G),MODERATE
101,ICICI Prudential FMP - Series 80 - 1125 Days Plan S - Direct Plan (G),MODERATE
102,ICICI Prudential FMP - Series 80 - 1125 Days Plan S - Regular Plan (G),MODERATE
103,ICICI Prudential FMP - Series 80 - 1231 Days Plan P - Direct Plan (G),MODERATE
104,ICICI Prudential FMP - Series 80 - 1231 Days Plan P - Regular Plan (G),MODERATE
105,ICICI Prudential FMP - Series 80 - 1233 Days Plan O - Direct Plan (G),MODERATE
106,ICICI Prudential FMP - Series 80 - 1233 Days Plan O - Regular Plan (G),MODERATE
107,ICICI Prudential FMP - Series 80 - 1138 Days Plan R - Direct Plan (G),MODERATE
108,ICICI Prudential FMP - Series 80 - 1138 Days Plan R - Regular Plan (G),MODERATE
109,ICICI Prudential FMP - Series 80 - 1150 Days Plan N - Direct Plan (G),MODERATE
110,ICICI Prudential FMP - Series 80 - 1150 Days Plan N - Regular Plan (G),MODERATE
111,ICICI Prudential FMP - Series 80 - 1214 Days Plan V - Direct Plan (G),MODERATE
112,ICICI Prudential FMP - Series 80 - 1214 Days Plan V - Regular Plan (G),MODERATE
113,ICICI Prudential FMP - Series 80 - 1215 Days Plan Y - Direct Plan (G),MODERATE
114,ICICI Prudential FMP - Series 80 - 1215 Days Plan Y - Regular Plan (G),MODERATE
115,ICICI Prudential FMP - Series 80 - 1216 Days Plan U - Direct Plan (G),MODERATE
116,ICICI Prudential FMP - Series 80 - 1216 Days Plan U - Regular Plan (G),MODERATE
117,ICICI Prudential FMP - Series 80 - 1216 Days Plan W - Direct Plan (G),MODERATE
118,ICICI Prudential FMP - Series 80 - 1216 Days Plan W - Regular Plan (G),MODERATE
119,ICICI Prudential FMP - Series 80 - 1225 Days Plan T - Direct Plan (G),MODERATE
120,ICICI Prudential FMP - Series 80 - 1225 Days Plan T - Regular Plan (G),MODERATE
121,ICICI Prudential FMP - Series 80 - 1227 Days Plan Q - Direct Plan (G),MODERATE
122,ICICI Prudential FMP - Series 80 - 1227 Days Plan Q - Regular Plan (G),MODERATE
123,ICICI Prudential FMP - Series 80 - 1238 Days Plan M - Direct Plan (G),MODERATE
124,ICICI Prudential FMP - Series 80 - 1238 Days Plan M - Regular Plan (G),MODERATE
125,ICICI Prudential FMP - Series 80 - 1245 Days Plan L - Direct Plan (G),MODERATE
126,ICICI Prudential FMP - Series 80 - 1245 Days Plan L - Regular Plan (G),MODERATE
127,ICICI Prudential FMP - Series 81 - 1100 Days Plan O - Direct Plan (G),MODERATE
128,ICICI Prudential FMP - Series 81 - 1100 Days Plan O - Regular Plan (G),MODERATE
129,ICICI Prudential FMP - Series 81 - 1100 Days Plan R - Direct Plan (G),MODERATE
130,ICICI Prudential FMP - Series 81 - 1100 Days Plan R - Regular Plan (G),MODERATE
131,ICICI Prudential FMP - Series 81 - 1100 Days Plan V - Direct Plan (G),MODERATE
132,ICICI Prudential FMP - Series 81 - 1100 Days Plan V - Regular Plan (G),MODERATE
133,ICICI Prudential FMP - Series 81 - 1100 Days Plan W - Direct Plan (G),MODERATE
134,ICICI Prudential FMP - Series 81 - 1100 Days Plan W - Regular Plan (G),MODERATE
135,ICICI Prudential FMP - Series 81 - 1101 Days Plan C - Direct Plan (G),MODERATE
136,ICICI Prudential FMP - Series 81 - 1101 Days Plan C - Regular Plan (G),MODERATE
137,ICICI Prudential FMP - Series 81 - 1101 Days Plan E - Direct Plan (G),MODERATE
138,ICICI Prudential FMP - Series 81 - 1101 Days Plan E - Regular Plan (G),MODERATE
139,ICICI Prudential FMP - Series 81 - 1116 Days Plan I - Direct Plan (G),MODERATE
140,ICICI Prudential FMP - Series 81 - 1116 Days Plan I - Regular Plan (G),MODERATE
141,ICICI Prudential FMP - Series 81 - 1119 Days Plan U - Direct Plan (G),MODERATE
142,ICICI Prudential FMP - Series 81 - 1119 Days Plan U - Regular Plan (G),MODERATE
143,ICICI Prudential FMP - Series 81 - 1133 Days Plan T - Direct Plan (G),MODERATE
144,ICICI Prudential FMP - Series 81 - 1133 Days Plan T - Regular Plan (G),MODERATE
145,ICICI Prudential FMP - Series 81 - 1141 Days Plan N - Direct Plan (G),MODERATE
146,ICICI Prudential FMP - Series 81 - 1141 Days Plan N - Regular Plan (G),MODERATE
147,ICICI Prudential FMP - Series 81 - 1142 Days Plan S - Direct Plan (G),MODERATE
148,ICICI Prudential FMP - Series 81 - 1142 Days Plan S - Regular Plan (G),MODERATE
149,ICICI Prudential FMP - Series 81 - 1143 Days Plan M - Direct Plan (G),MODERATE
150,ICICI Prudential FMP - Series 81 - 1143 Days Plan M - Regular Plan (G),MODERATE
151,ICICI Prudential FMP - Series 81 - 1147 Days Plan L - Direct Plan (G),MODERATE
152,ICICI Prudential FMP - Series 81 - 1147 Days Plan L - Regular Plan (G),MODERATE
153,ICICI Prudential FMP - Series 81 - 1150 Days Plan K - Direct Plan (G),MODERATE
154,ICICI Prudential FMP - Series 81 - 1150 Days Plan K - Regular Plan (G),MODERATE
155,ICICI Prudential FMP - Series 81 - 1154 Days Plan J - Direct Plan (G),MODERATE
156,ICICI Prudential FMP - Series 81 - 1154 Days Plan J - Regular Plan (G),MODERATE
157,ICICI Prudential FMP - Series 81 - 1162 Days Plan P - Direct Plan (G),MODERATE
158,ICICI Prudential FMP - Series 81 - 1162 Days Plan P - Regular Plan (G),MODERATE
159,ICICI Prudential FMP - Series 81 - 1163 Days Plan Q - Direct Plan (G),MODERATE
160,ICICI Prudential FMP - Series 81 - 1163 Days Plan Q - Regular Plan (G),MODERATE
161,ICICI Prudential FMP - Series 81 - 1178 Days Plan H - Direct Plan (G),MODERATE
162,ICICI Prudential FMP - Series 81 - 1178 Days Plan H - Regular Plan (G),MODERATE
163,ICICI Prudential FMP - Series 81 - 1185 Days Plan G - Direct Plan (G),MODERATE
