,Plan_name,riskometer
77,HDFC Gold Fund - Direct Plan (G),MODERATELY HIGH
78,HDFC Growth Fund (G),MODERATELY HIGH
79,HDFC Growth Fund - Direct Plan (G),MODERATELY HIGH
80,HDFC High Interest Fund - Dynamic Plan (G),MODERATE
81,HDFC High Interest Fund - Short Term Plan (G),MODERATE
82,HDFC High Interest Fund - Dynamic Plan - Direct Plan (G),MODERATE
83,HDFC High Interest Fund - Short Term Plan - Direct Plan (G),MODERATE
84,HDFC Income Fund (G) ,MODERATE
85,HDFC Income Fund - Direct Plan (G) ,MODERATE
86,HDFC Index Fund - Nifty Plan,MODERATELY HIGH
87,HDFC Index Fund - Nifty Plan - Direct Plan,MODERATELY HIGH
88,HDFC Index Fund - Sensex Plan,MODERATELY HIGH
89,HDFC Index Fund - Sensex Plan - Direct Plan,MODERATELY HIGH
90,HDFC Index Fund - Sensex Plus Plan - Direct Plan,MODERATELY HIGH
91,HDFC Index Fund - Sensex Plus Plan,MODERATELY HIGH
92,HDFC Inflation Indexed Bond Fund (G),LOW
93,HDFC Inflation Indexed Bond Fund - Direct Plan (G),LOW
94,HDFC Infrastructure Fund - Direct Plan (G),HIGH
95,HDFC Infrastructure Fund (G),HIGH
96,HDFC Large Cap Fund (G),MODERATELY HIGH
97,HDFC Large Cap Fund - Direct Plan (G),MODERATELY HIGH
98,HDFC Liquid Fund - Premium Plan (G),LOW
99,HDFC Liquid Fund - Premium Plus (G),LOW
100,HDFC Liquid Fund (G),LOW
101,HDFC Liquid Fund - Direct Plan (G),LOW
102,HDFC Long Term Advantage Fund - Direct Plan (G),MODERATELY HIGH
103,HDFC Long Term Advantage Fund (G),MODERATELY HIGH
104,HDFC Medium Term Opportunities Fund (G),MODERATELY LOW
105,HDFC Medium Term Opportunities Fund - Direct Plan (G),MODERATELY LOW
106,HDFC Mid-Cap Opportunities Fund - Direct Plan (G),MODERATELY HIGH
107,HDFC Mid-Cap Opportunities Fund (G),MODERATELY HIGH
108,HDFC Monthly Income Plan - Long Term Plan (G),MODERATELY HIGH
109,HDFC Monthly Income Plan - Long Term Plan - Direct Plan (G),MODERATELY HIGH
110,HDFC Monthly Income Plan - Short Term Plan (G),MODERATELY HIGH
111,HDFC Monthly Income Plan - Short Term Plan - Direct Plan (G),MODERATELY HIGH
112,HDFC Multiple Yield Fund - Plan 2005 (G),MODERATELY HIGH
113,HDFC Multiple Yield Fund - Plan 2005 - Direct Plan (G),MODERATELY HIGH
114,HDFC Nifty ETF,HIGH
115,HDFC Premier Multi-Cap Fund (G),MODERATELY HIGH
116,HDFC Premier MultiCap Fund - Direct Plan (G),MODERATELY HIGH
117,HDFC Prudence Fund (G),MODERATELY HIGH
118,HDFC Prudence Fund - Direct Plan (G),MODERATELY HIGH
119,HDFC Quarterly Interval Fund - Plan A - Direct Plan (G),LOW
120,HDFC Quarterly Interval Fund - Plan A - Retail Plan (G),LOW
121,HDFC Quarterly Interval Fund - Plan A - Wholesale Plan (G),LOW
122,HDFC Quarterly Interval Fund - Plan B - Direct Plan (G),LOW
123,HDFC Quarterly Interval Fund - Plan B - Retail Plan (G),LOW
124,HDFC Quarterly Interval Fund - Plan B - Wholesale Plan (G),LOW
125,HDFC Quarterly Interval Fund - Plan C - Direct Plan (G),LOW
126,HDFC Quarterly Interval Fund - Plan C - Retail Plan (G),LOW
127,HDFC Quarterly Interval Fund - Plan C - Wholesale Plan (G),LOW
128,HDFC Rajiv Gandhi Equity Savings Scheme - Series 1 (Feb-13) (G),HIGH
129,HDFC Rajiv Gandhi Equity Savings Scheme - Series 1 (Feb-13)-Direct Plan (G),HIGH
130,HDFC Rajiv Gandhi Equity Savings Scheme - Series 2 - Direct Plan (G),HIGH
131,HDFC Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan(G),HIGH
132,HDFC Regular Savings Fund (G),MODERATE
133,HDFC Regular Savings Fund - Direct Plan (G),MODERATE
134,HDFC Sensex ETF,HIGH
135,HDFC Short Term Opportunities Fund - Direct Plan (G),MODERATELY LOW
136,HDFC Short Term Opportunities Fund (G),MODERATELY LOW
137,HDFC Small Cap Fund  (G),MODERATELY HIGH
138,HDFC Small Cap Fund - Direct Plan (G),MODERATELY HIGH
139,HDFC Tax Saver (G),MODERATELY HIGH
140,HDFC Tax Saver - Direct Plan (G),MODERATELY HIGH
141,HDFC Top 200 Fund (G),MODERATELY HIGH
142,HDFC Top 200 Fund - Direct Plan (G),MODERATELY HIGH
