DATE,GOLDAMGBD228NLBM
2013-01-02,1681.500
2013-01-03,1684.500
2013-01-04,1632.250
2013-01-07,1653.750
2013-01-08,1653.750
2013-01-09,1663.500
2013-01-10,1663.000
2013-01-11,1669.500
2013-01-14,1667.750
2013-01-15,1681.000
2013-01-16,1679.750
2013-01-17,1683.250
2013-01-18,1690.000
2013-01-21,1688.000
2013-01-22,1692.500
2013-01-23,1692.250
2013-01-24,1677.000
2013-01-25,1670.250
2013-01-28,1656.750
2013-01-29,1660.500
2013-01-30,1666.250
2013-01-31,1674.500
2013-02-01,1665.000
2013-02-04,1664.250
2013-02-05,1678.000
2013-02-06,1670.000
2013-02-07,1675.750
2013-02-08,1669.750
2013-02-11,1663.500
2013-02-12,1641.750
2013-02-13,1648.000
2013-02-14,1644.000
2013-02-15,1629.250
2013-02-18,1611.250
2013-02-19,1613.500
2013-02-20,1602.000
2013-02-21,1568.500
2013-02-22,1580.000
2013-02-25,1592.500
2013-02-26,1597.250
2013-02-27,1608.500
2013-02-28,1591.000
2013-03-01,1570.000
2013-03-04,1578.000
2013-03-05,1584.250
2013-03-06,1574.000
2013-03-07,1580.500
2013-03-08,1577.000
2013-03-11,1577.500
2013-03-12,1582.500
2013-03-13,1591.500
2013-03-14,1585.000
2013-03-15,1593.250
2013-03-18,1599.500
2013-03-19,1602.500
2013-03-20,1611.500
2013-03-21,1608.750
2013-03-22,1611.500
2013-03-25,1602.250
2013-03-26,1597.250
2013-03-27,1591.000
2013-03-28,1602.500
2013-03-29,.
2013-04-01,.
2013-04-02,1597.750
2013-04-03,1568.500
2013-04-04,1545.250
2013-04-05,1552.750
2013-04-08,1577.250
2013-04-09,1572.500
2013-04-10,1581.500
2013-04-11,1555.750
2013-04-12,1548.000
2013-04-15,1416.000
2013-04-16,1378.000
2013-04-17,1379.000
2013-04-18,1397.000
2013-04-19,1414.000
2013-04-22,1425.000
2013-04-23,1417.250
2013-04-24,1424.500
2013-04-25,1446.500
2013-04-26,1462.250
2013-04-29,1472.500
2013-04-30,1472.750
2013-05-01,1469.500
2013-05-02,1456.000
2013-05-03,1476.500
2013-05-06,.
2013-05-07,1463.000
2013-05-08,1454.000
2013-05-09,1469.500
2013-05-10,1449.250
2013-05-13,1429.750
2013-05-14,1436.500
2013-05-15,1412.250
2013-05-16,1377.000
2013-05-17,1376.750
2013-05-20,1353.750
2013-05-21,1378.750
2013-05-22,1385.250
2013-05-23,1386.000
2013-05-24,1385.250
2013-05-27,.
2013-05-28,1379.000
2013-05-29,1384.500
2013-05-30,1406.250
2013-05-31,1410.250
